ID;lat;long;altitude;median_water_depth;name;description;aquifer_name;confinement
S18U5;35.086676;-76.835587;11.907012;12.365736;Arapahoe;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S18U5/;Castle Hayne;Confined
S18U6;35.086676;-76.835587;11.830812;12.45108;Arapahoe;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S18U6/;Castle Hayne;Confined
S18U7;35.086676;-76.835587;11.809476;9.787128;Arapahoe;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S18U7/;Yorktown;Confined
S18U8;35.086676;-76.835587;12.318492;12.825984;Arapahoe;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S18U8/;Castle Hayne;Confined
S18U9;35.086676;-76.835587;12.13866;12.624816;Arapahoe;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S18U9/;Castle Hayne;Confined
S22J10;35.137475;-77.171389;8.4563712;21.31314;Clarks;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S22J10/;Black Creek;Confined
S22J12;35.137475;-77.171389;7.9534512;21.718524;Clarks;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S22J12/;Upper Cape Fear;Confined
S22J4;35.137475;-77.171389;7.9900272;3.457956;Clarks;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S22J4/;Surficial;Unconfined
S22J5;35.137475;-77.171389;8.1241392;6.6294;Clarks;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S22J5/;Castle Hayne;Confined
S22J8;35.137475;-77.171389;8.3618832;6.786372;Clarks;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S22J8/;Beaufort;Confined
S22J9;35.137475;-77.171389;8.4015072;7.63524;Clarks;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S22J9/;Peedee;Confined
S26I1;35.139489;-77.530205;17.7491136;8.007096;Beaver Creek;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S26I1/;Peedee;Confined
S26I2;35.139489;-77.530205;17.8679856;27.503628;Beaver Creek;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S26I2/;Lower Cape Fear;Confined
S26I3;35.139489;-77.530205;17.9289456;1.200912;Beaver Creek;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S26I3/;Surficial;Unconfined
S26I4;35.139489;-77.530205;17.8679856;13.257276;Beaver Creek;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S26I4/;Upper Black Creek (Kubc);Confined
S26I5;35.139489;-77.530205;17.8679856;26.42616;Beaver Creek;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S26I5/;Upper Cape Fear;Confined
S26I6;35.139489;-77.530205;17.9899056;26.62428;Beaver Creek;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S26I6/;Black Creek;Confined
S27D1;35.159436;-77.633824;38.0804928;21.851112;Woodington School;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S27D1/;Peedee;Confined
S33C1;35.163138;-78.129968;33.5072736;-1.552956;Calypso;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S33C1/;Black Creek (Kbc);Confined
S33C2;35.163138;-78.129968;34.3454736;-0.775716;Calypso;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S33C2/;Upper Cape Fear (Kucf);Confined
S33C3;35.163138;-78.129968;34.1595456;-0.344424;Calypso;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S33C3/;Surficial (S);Unconfined
S33C4;35.163138;-78.129968;33.8090256;-1.068324;Calypso;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S33C4/;Upper Cape Fear (Kucf);Confined
S35Q5;35.113686;-78.316614;54.1489392;2.432304;Halls;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S35Q5/;Surficial;Unconfined
S35Q8;35.113686;-78.316614;54.2800032;7.549896;Halls;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/S35Q8/;Black Creek;Confined
